iter	Passed	Remaining
0	1	146
1	2	130
2	3	122
3	4	112
4	5	112
5	7	109
6	8	107
7	9	107
8	10	106
9	11	104
10	12	103
11	13	102
12	15	102
13	16	100
14	17	99
15	18	97
16	19	96
17	20	95
18	22	93
19	23	92
20	24	92
21	25	90
22	26	89
23	27	88
24	28	86
25	29	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	61	54
53	62	53
54	63	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	45
62	75	44
63	77	43
64	78	42
65	81	41
66	82	40
67	83	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	96	28
77	97	27
78	98	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
